JWK_Name,Bank,Our_SampleName,Status
ExtortCivilianNeg_02.snd,AmbientCivilian,EXTORT_NEG_02,MATCH_EXPLICIT
ExtortCivilianNeg_03.snd,AmbientCivilian,EXTORT_NEG_03,MATCH_EXPLICIT
ExtortCivilianNeg_04.snd,AmbientCivilian,EXTORT_NEG_04,MATCH_EXPLICIT
ExtortCivilianNeg_05.snd,AmbientCivilian,EXTORT_NEG_05,MATCH_EXPLICIT
ExtortCivilianOK_01.snd,AmbientCivilian,EXTORT_OK_01,MATCH_EXPLICIT
ExtortCivilianOK_02.snd,AmbientCivilian,EXTORT_OK_02,MATCH_EXPLICIT
ExtortCivilianOK_03.snd,AmbientCivilian,EXTORT_OK_03,MATCH_EXPLICIT
ExtortCivilianOK_04.snd,AmbientCivilian,EXTORT_OK_04,MATCH_EXPLICIT
ExtortCivilianResistance_01.snd,AmbientCivilian,EXTORT_RES_01,MATCH_EXPLICIT
ExtortCivilianResistance_02.snd,AmbientCivilian,EXTORT_RES_02,MATCH_EXPLICIT
ExtortCivilianUndercover_01.snd,AmbientCivilian,EXTORT_UND_01,MATCH_EXPLICIT
ExtortCivilianUndercover_02.snd,AmbientCivilian,EXTORT_UND_02,MATCH_EXPLICIT
Q_Dogtags_PL_1.snd,Player,Q_PL_DOGTAGS_1,MATCH_EXPLICIT
Q_Dogtags_RO_1.snd,ResistanceOfficerQuests,Q_RO_DOGTAGS_1,MATCH_EXPLICIT
Q_Dogtags_RO_2.snd,ResistanceOfficerQuests,Q_RO_DOGTAGS_2,MATCH_EXPLICIT
Q_Dogtags_RO_3.snd,ResistanceOfficerQuests,Q_RO_DOGTAGS_3,MATCH_EXPLICIT
Q_Dogtags_RO_4.snd,ResistanceOfficerQuests,Q_RO_DOGTAGS_4,MATCH_EXPLICIT
Q_Dogtags_RO_5.snd,ResistanceOfficerQuests,Q_RO_DOGTAGS_5,MATCH_EXPLICIT
Q_Fob_RO_1.snd,ResistanceOfficerQuests,Q_RO_FOB_1,MATCH_EXPLICIT
Q_Fob_RO_2.snd,ResistanceOfficerQuests,Q_RO_FOB_2,MATCH_EXPLICIT
Q_Fob_RO_3.snd,ResistanceOfficerQuests,Q_RO_FOB_3,MATCH_EXPLICIT
TurnDogtags.snd,Player,TURN_DOGTAGS,MATCH
TurnDogtagsReply.snd,ResistanceOfficer,TURN_DOGTAGS_REPLY,MATCH
NoTalk_01.snd,Default,NO_TALK_01,MATCH
NoTalk_02.snd,Default,NO_TALK_02,MATCH
NoTalk_03.snd,Default,NO_TALK_03,MATCH
NoTalk_04.snd,Default,NO_TALK_04,MATCH
TalkNoPants_01.snd,AmbientCivilian,NO_PANTS_01,MATCH_EXPLICIT
TalkNoPants_02.snd,AmbientCivilian,NO_PANTS_02,MATCH_EXPLICIT
JobResign_01.snd,Player,JOB_RESIGN_01,MATCH
JobResign_02.snd,Player,JOB_RESIGN_02,MATCH
JobResign_03.snd,Player,JOB_RESIGN_03,MATCH
RO_JobResign_01.snd,ResistanceOfficerJobs,J_RO_JOB_RESIGN_01,MATCH_EXPLICIT
RO_JobResign_02.snd,ResistanceOfficerJobs,J_RO_JOB_RESIGN_02,MATCH_EXPLICIT
RO_JobResign_03.snd,ResistanceOfficerJobs,J_RO_JOB_RESIGN_03,MATCH_EXPLICIT
RO_JobDeliverItem1.snd,ResistanceOfficerJobs,J_RO_NEW_DELIVER_ITEM,MATCH_EXPLICIT
J_DeliverItem_OK_01.snd,ResistanceOperative,DELIVER_ITEM_OK,MATCH_EXPLICIT
LiberatePrisoner_01.snd,Player,LIBERATE_CALL_01,MATCH_EXPLICIT
LiberatePrisoner_02.snd,Player,LIBERATE_CALL_02,MATCH_EXPLICIT
AskFollow_01.snd,PlayerActions,ASK_FOLLOW_01,MATCH
AskFollow_02.snd,PlayerActions,ASK_FOLLOW_02,MATCH
StopFollow_01.snd,PlayerActions,ASK_STOP_FOLLOW_01,MATCH_EXPLICIT
StopFollow_02.snd,PlayerActions,ASK_STOP_FOLLOW_02,MATCH_EXPLICIT
AskHideoutLocation_01.snd,,,JWK_NO_MATCH
ResistanceReportReplyNeg_01.snd,,,JWK_NO_MATCH
,AmbientCivilian,EXTORT_OK_01,OURS_UNUSED
,AmbientCivilian,EXTORT_OK_02,OURS_UNUSED
,AmbientCivilian,EXTORT_OK_03,OURS_UNUSED
,AmbientCivilian,EXTORT_OK_04,OURS_UNUSED
,AmbientCivilian,EXTORT_NEG_01,OURS_UNUSED
,AmbientCivilian,EXTORT_NEG_02,OURS_UNUSED
,AmbientCivilian,EXTORT_NEG_03,OURS_UNUSED
,AmbientCivilian,EXTORT_NEG_04,OURS_UNUSED
,AmbientCivilian,EXTORT_NEG_05,OURS_UNUSED
,AmbientCivilian,EXTORT_RES_01,OURS_UNUSED
,AmbientCivilian,EXTORT_RES_02,OURS_UNUSED
,AmbientCivilian,EXTORT_UND_01,OURS_UNUSED
,AmbientCivilian,EXTORT_UND_02,OURS_UNUSED
,AmbientCivilian,NO_PANTS_01,OURS_UNUSED
,AmbientCivilian,NO_PANTS_02,OURS_UNUSED
,Default,RADIO_CALLOUT_TAIL,OURS_UNUSED
,MilitaryPolice,MP_PHONE_PICKUP,OURS_UNUSED
,MilitaryPolice,MP_RESISTANCE_REPORT_REPLY,OURS_UNUSED
,Player,MP_REPORT_RESISTANCE_01,OURS_UNUSED
,Player,RO_ASK_JOB,OURS_UNUSED
,Player,Q_PL_INTRO_1,OURS_UNUSED
,Player,JOB_REPORT_DONE_01,OURS_UNUSED
,Player,POSTERS_ASK,OURS_UNUSED
,Player,CIV_CONVERT_01,OURS_UNUSED
,Player,CIV_CONVERT_02,OURS_UNUSED
,Player,CIV_CONVERT_03,OURS_UNUSED
,Player,CIV_CONVERT_04,OURS_UNUSED
,Player,CIV_CONVERT_05,OURS_UNUSED
,Player,CIV_CONVERT_06,OURS_UNUSED
,Player,CIV_CONVERT_07,OURS_UNUSED
,Player,CIV_CONVERT_08,OURS_UNUSED
,Player,CIV_CONVERT_09,OURS_UNUSED
,Player,CIV_CONVERT_10,OURS_UNUSED
,Player,CIV_EXTORT_01,OURS_UNUSED
,Player,CIV_EXTORT_02,OURS_UNUSED
,Player,CIV_EXTORT_03,OURS_UNUSED
,Player,CIV_EXTORT_04,OURS_UNUSED
,Player,CIV_EXTORT_05,OURS_UNUSED
,Player,Q_PL_DOGTAGS_1,OURS_UNUSED
,Player,LIBERATE_CALL_01,OURS_UNUSED
,Player,LIBERATE_CALL_02,OURS_UNUSED
,PlayerActions,ASK_STOP_FOLLOW_01,OURS_UNUSED
,PlayerActions,ASK_STOP_FOLLOW_02,OURS_UNUSED
,ResistanceOfficer,DONT_CALL,OURS_UNUSED
,ResistanceOfficer,HIDEOUT_NONE,OURS_UNUSED
,ResistanceOfficer,HIDEOUT_OK_A,OURS_UNUSED
,ResistanceOfficer,HIDEOUT_OK_B,OURS_UNUSED
,ResistanceOfficer,PASS_OK,OURS_UNUSED
,ResistanceOfficer,JOB_NONE,OURS_UNUSED
,ResistanceOfficer,JOB_DEAD_DROP,OURS_UNUSED
,ResistanceOfficer,JOB_MEET,OURS_UNUSED
,ResistanceOfficer,JOB_GIVE_NOTE,OURS_UNUSED
,ResistanceOfficer,JOB_REPORT_OK,OURS_UNUSED
,ResistanceOfficer,JOB_REQ_REPORT_PERSON,OURS_UNUSED
,ResistanceOfficer,RADIO_CALLOUT_ANSWER,OURS_UNUSED
,ResistanceOfficer,POSTERS_ALREADY_HAVE,OURS_UNUSED
,ResistanceOfficer,POSTERS_COME_LATER,OURS_UNUSED
,ResistanceOfficer,POSTERS_NO_SPACE,OURS_UNUSED
,ResistanceOfficer,POSTERS_OK,OURS_UNUSED
,ResistanceOfficerJobs,J_RO_JOB_RESIGN_01,OURS_UNUSED
,ResistanceOfficerJobs,J_RO_JOB_RESIGN_02,OURS_UNUSED
,ResistanceOfficerJobs,J_RO_JOB_RESIGN_03,OURS_UNUSED
,ResistanceOfficerJobs,J_RO_NEW_DELIVER_ITEM,OURS_UNUSED
,ResistanceOfficerQuests,Q_RO_INTRO_1,OURS_UNUSED
,ResistanceOfficerQuests,Q_RO_POSTERS_1,OURS_UNUSED
,ResistanceOfficerQuests,Q_RO_POSTERS_2,OURS_UNUSED
,ResistanceOfficerQuests,Q_RO_POSTERS_3,OURS_UNUSED
,ResistanceOfficerQuests,Q_RO_DOGTAGS_1,OURS_UNUSED
,ResistanceOfficerQuests,Q_RO_DOGTAGS_2,OURS_UNUSED
,ResistanceOfficerQuests,Q_RO_DOGTAGS_3,OURS_UNUSED
,ResistanceOfficerQuests,Q_RO_DOGTAGS_4,OURS_UNUSED
,ResistanceOfficerQuests,Q_RO_DOGTAGS_5,OURS_UNUSED
,ResistanceOfficerQuests,Q_RO_FOB_1,OURS_UNUSED
,ResistanceOfficerQuests,Q_RO_FOB_2,OURS_UNUSED
,ResistanceOfficerQuests,Q_RO_FOB_3,OURS_UNUSED
,ResistanceOperative,DELIVER_ITEM_OK,OURS_UNUSED
